month,campuses,students,scored_tasks,tok_out_m,gpus,cloud_month,local_month,local_capex,cum_cloud,cum_local,cum_delta
1,1,195.0,12870.0,36.036,1,1747.0561679999998,17190.66,15300,1747.0561679999998,17190.66,-15443.603832
2,1,195.0,12870.0,36.036,1,1747.0561679999998,1890.6599999999999,0,3494.1123359999997,19081.32,-15587.207664
3,1,195.0,12870.0,36.036,1,1747.0561679999998,1890.6599999999999,0,5241.168503999999,20971.98,-15730.811496
4,1,195.0,12870.0,36.036,1,1747.0561679999998,1890.6599999999999,0,6988.224671999999,22862.64,-15874.415328
5,1,195.0,12870.0,36.036,1,1747.0561679999998,1890.6599999999999,0,8735.28084,24753.3,-16018.01916
6,1,195.0,12870.0,36.036,1,1747.0561679999998,1890.6599999999999,0,10482.337007999999,26643.96,-16161.622992
7,2,330.0,21780.0,60.984,2,2956.556592,14558.599999999999,11300,13438.8936,41202.56,-27763.6664
8,2,330.0,21780.0,60.984,2,2956.556592,3258.6,0,16395.450192,44461.159999999996,-28065.709807999996
9,2,330.0,21780.0,60.984,2,2956.556592,3258.6,0,19352.006784,47719.759999999995,-28367.753215999994
10,2,330.0,21780.0,60.984,2,2956.556592,3258.6,0,22308.563376000002,50978.35999999999,-28669.79662399999
11,2,330.0,21780.0,60.984,2,2956.556592,3258.6,0,25265.119968000003,54236.95999999999,-28971.84003199999
12,2,330.0,21780.0,60.984,2,2956.556592,3258.6,0,28221.676560000004,57495.55999999999,-29273.883439999987
13,3,420.0,27720.0,77.616,3,3762.8902080000003,15534.5,11300,31984.566768000004,73030.06,-41045.49323199999
14,3,420.0,27720.0,77.616,3,3762.8902080000003,4234.5,0,35747.456976,77264.56,-41517.103024
15,3,420.0,27720.0,77.616,3,3762.8902080000003,4234.5,0,39510.347184,81499.06,-41988.712816
16,3,420.0,27720.0,77.616,3,3762.8902080000003,4234.5,0,43273.237391999995,85733.56,-42460.322608
17,3,420.0,27720.0,77.616,3,3762.8902080000003,4234.5,0,47036.12759999999,89968.06,-42931.932400000005
18,3,420.0,27720.0,77.616,3,3762.8902080000003,4234.5,0,50799.01780799999,94202.56,-43403.54219200001
19,3,420.0,27720.0,77.616,3,3762.8902080000003,4234.5,0,54561.90801599999,98437.06,-43875.15198400001
20,3,420.0,27720.0,77.616,3,3762.8902080000003,4234.5,0,58324.798223999984,102671.56,-44346.761776000014
21,3,420.0,27720.0,77.616,3,3762.8902080000003,4234.5,0,62087.68843199998,106906.06,-44818.37156800002
22,3,420.0,27720.0,77.616,3,3762.8902080000003,4234.5,0,65850.57863999998,111140.56,-45289.98136000002
23,3,420.0,27720.0,77.616,3,3762.8902080000003,4234.5,0,69613.46884799997,115375.06,-45761.59115200002
24,3,420.0,27720.0,77.616,3,3762.8902080000003,4234.5,0,73376.35905599997,119609.56,-46233.200944000026
25,3,420.0,27720.0,77.616,3,3762.8902080000003,4234.5,0,77139.24926399997,123844.06,-46704.81073600003
26,3,420.0,27720.0,77.616,3,3762.8902080000003,4234.5,0,80902.13947199997,128078.56,-47176.42052800003
27,3,420.0,27720.0,77.616,3,3762.8902080000003,4234.5,0,84665.02967999996,132313.06,-47648.030320000034
28,3,420.0,27720.0,77.616,3,3762.8902080000003,4234.5,0,88427.91988799996,136547.56,-48119.64011200004
29,3,420.0,27720.0,77.616,3,3762.8902080000003,4234.5,0,92190.81009599996,140782.06,-48591.24990400004
30,3,420.0,27720.0,77.616,3,3762.8902080000003,4234.5,0,95953.70030399995,145016.56,-49062.85969600004
31,3,420.0,27720.0,77.616,3,3762.8902080000003,4234.5,0,99716.59051199995,149251.06,-49534.469488000046
32,3,420.0,27720.0,77.616,3,3762.8902080000003,4234.5,0,103479.48071999995,153485.56,-50006.07928000005
33,3,420.0,27720.0,77.616,3,3762.8902080000003,4234.5,0,107242.37092799995,157720.06,-50477.68907200005
34,3,420.0,27720.0,77.616,3,3762.8902080000003,4234.5,0,111005.26113599994,161954.56,-50949.298864000055
35,3,420.0,27720.0,77.616,3,3762.8902080000003,4234.5,0,114768.15134399994,166189.06,-51420.90865600006
36,3,420.0,27720.0,77.616,3,3762.8902080000003,4234.5,0,118531.04155199994,170423.56,-51892.51844800006
