month,campuses,students,scored_tasks,tok_out_m,gpus,cloud_month,local_month,local_capex,cum_cloud,cum_local,cum_delta
1,1,195.0,12870.0,36.036,1,6071.376168,17190.66,15300,6071.376168,17190.66,-11119.283832000001
2,1,195.0,12870.0,36.036,1,6071.376168,1890.6599999999999,0,12142.752336,19081.32,-6938.567664
3,1,195.0,12870.0,36.036,1,6071.376168,1890.6599999999999,0,18214.128504,20971.98,-2757.8514959999993
4,1,195.0,12870.0,36.036,1,6071.376168,1890.6599999999999,0,24285.504672,22862.64,1422.8646719999997
5,1,195.0,12870.0,36.036,1,6071.376168,1890.6599999999999,0,30356.880839999998,24753.3,5603.580839999999
6,1,195.0,12870.0,36.036,1,6071.376168,1890.6599999999999,0,36428.257008,26643.96,9784.297008000001
7,2,330.0,21780.0,60.984,2,10274.636592,14558.599999999999,11300,46702.8936,41202.56,5500.333600000005
8,2,330.0,21780.0,60.984,2,10274.636592,3258.6,0,56977.530192000006,44461.159999999996,12516.37019200001
9,2,330.0,21780.0,60.984,2,10274.636592,3258.6,0,67252.166784,47719.759999999995,19532.406784000006
10,2,330.0,21780.0,60.984,2,10274.636592,3258.6,0,77526.803376,50978.35999999999,26548.443376000003
11,2,330.0,21780.0,60.984,2,10274.636592,3258.6,0,87801.43996799999,54236.95999999999,33564.479968
12,2,330.0,21780.0,60.984,2,10274.636592,3258.6,0,98076.07655999999,57495.55999999999,40580.51656
13,3,420.0,27720.0,77.616,3,13076.810208,15534.5,11300,111152.88676799998,73030.06,38122.826767999984
14,3,420.0,27720.0,77.616,3,13076.810208,4234.5,0,124229.69697599998,77264.56,46965.13697599998
15,3,420.0,27720.0,77.616,3,13076.810208,4234.5,0,137306.507184,81499.06,55807.44718399999
16,3,420.0,27720.0,77.616,3,13076.810208,4234.5,0,150383.317392,85733.56,64649.757392
17,3,420.0,27720.0,77.616,3,13076.810208,4234.5,0,163460.1276,89968.06,73492.06760000001
18,3,420.0,27720.0,77.616,3,13076.810208,4234.5,0,176536.93780800002,94202.56,82334.37780800002
19,3,420.0,27720.0,77.616,3,13076.810208,4234.5,0,189613.74801600003,98437.06,91176.68801600003
20,3,420.0,27720.0,77.616,3,13076.810208,4234.5,0,202690.55822400004,102671.56,100018.99822400004
21,3,420.0,27720.0,77.616,3,13076.810208,4234.5,0,215767.36843200005,106906.06,108861.30843200005
22,3,420.0,27720.0,77.616,3,13076.810208,4234.5,0,228844.17864000006,111140.56,117703.61864000006
23,3,420.0,27720.0,77.616,3,13076.810208,4234.5,0,241920.98884800007,115375.06,126545.92884800007
24,3,420.0,27720.0,77.616,3,13076.810208,4234.5,0,254997.79905600008,119609.56,135388.23905600008
25,3,420.0,27720.0,77.616,3,13076.810208,4234.5,0,268074.6092640001,123844.06,144230.5492640001
26,3,420.0,27720.0,77.616,3,13076.810208,4234.5,0,281151.4194720001,128078.56,153072.8594720001
27,3,420.0,27720.0,77.616,3,13076.810208,4234.5,0,294228.2296800001,132313.06,161915.1696800001
28,3,420.0,27720.0,77.616,3,13076.810208,4234.5,0,307305.0398880001,136547.56,170757.47988800012
29,3,420.0,27720.0,77.616,3,13076.810208,4234.5,0,320381.8500960001,140782.06,179599.79009600013
30,3,420.0,27720.0,77.616,3,13076.810208,4234.5,0,333458.66030400014,145016.56,188442.10030400014
31,3,420.0,27720.0,77.616,3,13076.810208,4234.5,0,346535.47051200015,149251.06,197284.41051200015
32,3,420.0,27720.0,77.616,3,13076.810208,4234.5,0,359612.28072000016,153485.56,206126.72072000016
33,3,420.0,27720.0,77.616,3,13076.810208,4234.5,0,372689.09092800017,157720.06,214969.03092800017
34,3,420.0,27720.0,77.616,3,13076.810208,4234.5,0,385765.9011360002,161954.56,223811.34113600018
35,3,420.0,27720.0,77.616,3,13076.810208,4234.5,0,398842.7113440002,166189.06,232653.6513440002
36,3,420.0,27720.0,77.616,3,13076.810208,4234.5,0,411919.5215520002,170423.56,241495.9615520002
